"Source:","D:/Google Drive/Dokumente/Elektronik/Projekte/Fallblatt-Zeile/Ersatz-Controller/v1.0/Fallblatt-Controller.sch"
"Date:","25.09.2017 22:08:11"
"Tool:","Eeschema (2017-01-15 revision 8ac4790)-makepkg"
"Generator:","D:/Google Drive/configfiles/kicad-lib/scripting/plugins/bom_csv_grouped_custom.py"
"Component Count:","25"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Accessory Order No.","Order No.","Supplier"
"","","C1","100n","device:C","Capacitors_SMD:C_0603","","","CL10B104KO8NNNC","TME"
"","","C2","100n","device:C","Capacitors_SMD:C_0603","","","CL10B104KO8NNNC","TME"
"","","C3","47u","device:CP","Capacitors_SMD:CP_Elec_6.3x5.3","","","SC1C476M6L005VR","TME"
"","","D1","BT134W-600.135","custom:Q_TRIAC_AAG_Alternate","TO_SOT_Packages_SMD:SOT-223","","","BT134W-600.135","TME"
"","","D2","Nullposition","custom:Photointerrupter","custom:Photointerrupter_QRE1113_SMD_Across_Hole","","","#","eBay"
"","","D3","Impuls","custom:Photointerrupter","custom:Photointerrupter_QRE1113_SMD_Across_Hole_Mirrored","","","#","eBay"
"","","P1","ISP","conn:CONN_02X03","Pin_Headers:Pin_Header_Straight_SMT_02x03","","","ZL301-2X20P","TME"
"","","P2","Motor","conn:CONN_01X02","custom:NXW-02SMDK","","","NXW-02SMDK","TME"
"","","P3","Interface","conn:CONN_02X03","custom:IDC_2x03_Angled","","T812-1-06","T821-1-06-R1","TME"
"","","P4","42V AC","conn:CONN_01X02","custom:AKL330-2","","TBW-5.0-K-2P","TBG-5.0-KW-2P","TME"
"","","Q1","MOC3081M","opto:MOC3081M","custom:Optocoupler_SMD_6pin","","","MOC3081XSM","TME"
"","","Q2","BC817-40","transistors:BC817-40","TO_SOT_Packages_SMD:SOT-23","","","BC817-40LT1G","TME"
"","","Q3","BC817-40","transistors:BC817-40","TO_SOT_Packages_SMD:SOT-23","","","BC817-40LT1G","TME"
"","","R1","10k","device:R","Resistors_SMD:R_0603","","","RC0603JR-0710K","TME"
"","","R2","180R","device:R","Resistors_SMD:R_0603","","","RC0603JR-07180R","TME"
"","","R3","68R","device:R","Resistors_SMD:R_0603","","","RC0603JR-0768R","TME"
"","","R4","4.7k","device:R","Resistors_SMD:R_0603","","","RC0603JR-074K7","TME"
"","","R5","150R","device:R","Resistors_SMD:R_0603","","","RC0603JR-07150R","TME"
"","","R6","180R","device:R","Resistors_SMD:R_0603","","","RC0603JR-07180R","TME"
"","","R7","180R","device:R","Resistors_SMD:R_0603","","","RC0603JR-07180R","TME"
"","","R8","4.7k","device:R","Resistors_SMD:R_0603","","","RC0603JR-074K7","TME"
"","","SW1","DM-08-V","switches:SW_DIP_x08","custom:SW_DIP_x8_SMD","","","ESD108E","TME"
"","","U1","ATMEGA328P-AU","atmel:ATMEGA328PB-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","","","ATMEGA328P-AU","TME"
"","","U2","MAX485","interface:SP3481EN","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","#","Nach Bedarf"
"","","Y1","ZTTCC8.00MG","device:Resonator","custom:Resonator_ZTTCC_X.XX_MG","","","ZTTCC8MG","TME"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Accessory Order No.","Order No.","Supplier"
"1","2","C2,C1","100n","device:C","Capacitors_SMD:C_0603","","","CL10B104KO8NNNC","TME"
"2","1","C3","47u","device:CP","Capacitors_SMD:CP_Elec_6.3x5.3","","","SC1C476M6L005VR","TME"
"3","1","D1","BT134W-600.135","custom:Q_TRIAC_AAG_Alternate","TO_SOT_Packages_SMD:SOT-223","","","BT134W-600.135","TME"
"4","1","D2","Nullposition","custom:Photointerrupter","custom:Photointerrupter_QRE1113_SMD_Across_Hole","","","#","eBay"
"5","1","D3","Impuls","custom:Photointerrupter","custom:Photointerrupter_QRE1113_SMD_Across_Hole_Mirrored","","","#","eBay"
"6","1","P1","ISP","conn:CONN_02X03","Pin_Headers:Pin_Header_Straight_SMT_02x03","","","ZL301-2X20P","TME"
"7","1","P2","Motor","conn:CONN_01X02","custom:NXW-02SMDK","","","NXW-02SMDK","TME"
"8","1","P3","Interface","conn:CONN_02X03","custom:IDC_2x03_Angled","","T812-1-06","T821-1-06-R1","TME"
"9","1","P4","42V AC","conn:CONN_01X02","custom:AKL330-2","","TBW-5.0-K-2P","TBG-5.0-KW-2P","TME"
"10","1","Q1","MOC3081M","opto:MOC3081M","custom:Optocoupler_SMD_6pin","","","MOC3081XSM","TME"
"11","2","Q3,Q2","BC817-40","transistors:BC817-40","TO_SOT_Packages_SMD:SOT-23","","","BC817-40LT1G","TME"
"12","1","R1","10k","device:R","Resistors_SMD:R_0603","","","RC0603JR-0710K","TME"
"13","3","R6,R7,R2","180R","device:R","Resistors_SMD:R_0603","","","RC0603JR-07180R","TME"
"14","1","R3","68R","device:R","Resistors_SMD:R_0603","","","RC0603JR-0768R","TME"
"15","2","R4,R8","4.7k","device:R","Resistors_SMD:R_0603","","","RC0603JR-074K7","TME"
"16","1","R5","150R","device:R","Resistors_SMD:R_0603","","","RC0603JR-07150R","TME"
"17","1","SW1","DM-08-V","switches:SW_DIP_x08","custom:SW_DIP_x8_SMD","","","ESD108E","TME"
"18","1","U1","ATMEGA328P-AU","atmel:ATMEGA328PB-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","","","ATMEGA328P-AU","TME"
"19","1","U2","MAX485","interface:SP3481EN","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","#","Nach Bedarf"
"20","1","Y1","ZTTCC8.00MG","device:Resonator","custom:Resonator_ZTTCC_X.XX_MG","","","ZTTCC8MG","TME"
